title;price;discount;discount_price;release_date
Call of Duty®: Black Ops Cold War - набор 'Два поколения';69.99;60%;27.99;16.12.2020
No title;-;-;-;-
Call of Duty®: Modern Warfare® - Цифровое стандартное издание;59.99;-;-;24.10.2019
LEGO® Звездные Войны™: Скайуокер. Сага;Недоступно по отдельности;-;-;-
LEGO® Звездные Войны™: Скайуокер. Сага;59.99;-;-;04.04.2022
LEGO® Звездные Войны™: Скайуокер. Сага - Deluxe;69.99;-;-;04.04.2022
Call of Duty®: Black Ops III - Zombies Deluxe;99.99;60%;39.99;29.08.2017
Call of Duty®: World at War;16.29;-;-;21.08.2014
Комплект «Grand Theft Auto V: Premium Edition и платежная карта «Белая акула»;44.99;-;-;19.12.2017
Grand Theft Auto V: Premium Edition;29.99;33%;20.09;19.12.2017
Комплект «Grand Theft Auto V: Premium Edition и платежная карта «Акула-кит»;59.99;-;-;19.12.2017
Комплект «Grand Theft Auto V: Premium Edition и платежная карта «Мегалодон»;89.99;-;-;19.12.2017
Assassin's Creed® Мираж;Недоступно по отдельности;-;-;-
Assassin's Creed® Мираж;49.99;-;-;11.10.2023
Assassin's Creed® Мираж – Deluxe Edition;59.99;-;-;11.10.2023
No title;-;-;-;-
ЗВЁЗДНЫЕ ВОЙНЫ Джедаи: Павший Орден™;49.99;-;-;15.11.2019
ЗВЁЗДНЫЕ ВОЙНЫ Джедаи: Павший Орден™ - издание Deluxe;59.99;-;-;14.11.2019
ТРОЙНОЙ КОМПЛЕКТ EA STAR WARS™;89.99;-;-;03.12.2020
DRAGON BALL FIGHTERZ;59.99;-;-;26.01.2018
DRAGON BALL FIGHTERZ - FighterZ Edition;94.99;85%;14.24;26.01.2018
DRAGON BALL FIGHTERZ - Ultimate Edition;109.99;-;-;26.01.2018
BATMAN™: Рыцарь Аркхема;19.99;-;-;23.06.2015
Batman: Рыцарь Аркхема (Premium Edition);39.99;80%;7.99;23.06.2015
Batman: Коллекция Аркхема;59.99;80%;11.99;27.11.2018
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles;Недоступно по отдельности;-;-;-
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles;56.99;-;-;29.10.2021
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles Digital Deluxe Edition;66.99;50%;33.49;29.10.2021
Tom Clancy's The Division® 2;29.99;70%;8.99;15.03.2019
The Division 2 - Warlords of New York Edition;59.99;-;-;02.04.2020
The Division 2 - Warlords of New York - Ultimate Edition;79.99;70%;23.99;02.04.2020
Warhammer 40,000: Boltgun;21.99;-;-;23.05.2023
Fallout 4;19.99;67%;6.59;10.11.2015
Fallout 4: Game of the Year Edition;39.99;75%;9.99;26.09.2017
Skyrim Anniversary Edition + Fallout 4 G.O.T.Y Bundle;79.99;60%;31.99;02.01.2022
No title;-;-;-;-
Call of Duty®: Modern Warfare® 2;24.45;-;-;10.11.2009
Microsoft Flight Simulator;Недоступно по отдельности;-;-;-
Microsoft Flight Simulator Standard 40th Anniversary Edition;59.99;-;-;11.11.2022
Microsoft Flight Simulator Deluxe 40th Anniversary Edition;89.99;-;-;11.11.2022
Microsoft Flight Simulator Premium Deluxe 40th Anniversary Edition;119.99;-;-;11.11.2022
Grand Theft Auto: San Andreas – The Definitive Edition;Недоступно по отдельности;-;-;-
Grand Theft Auto: The Trilogy – The Definitive Edition;59.99;50%;29.99;11.11.2021
DRAGON BALL Z: KAKAROT;69.99;-;-;16.01.2020
DRAGON BALL Z: KAKAROT Deluxe Edition;89.99;75%;22.49;16.01.2020
DRAGON BALL Z: KAKAROT Legendary Edition;119.99;-;-;03.02.2023
Hell Let Loose;44.99;-;-;05.10.2021
Издание WWE 2K23 Deluxe;99.99;-;-;13.03.2023
Издание WWE 2K23 Icon;119.99;33%;80.39;13.03.2023
Mortal Kombat (2011);Недоступно по отдельности;-;-;-
It Takes Two — версия для друга;Бесплатно;-;-;25.03.2021
It Takes Two — Цифровая версия;39.99;-;-;25.03.2021
Assassin's Creed® Одиссея;59.99;-;-;05.10.2018
Assassin's Creed® Одиссея – DELUXE EDITION;79.99;80%;15.99;05.10.2018
Assassin's Creed® Одиссея – GOLD EDITION;99.99;-;-;05.10.2018
Assassin's Creed® Одиссея – ULTIMATE EDITION;119.99;80%;23.99;05.10.2018
"Assassin's Creed - набор ""Мифология""";159.99;75%;39.99;09.01.2022
Call of Duty®: Modern Warfare® 3;24.45;-;-;26.03.2012
Brawlhalla;Бесплатно;-;-;06.11.2018
Far Cry® 5;59.99;-;-;27.03.2018
Набор Far Cry® 5 + Far Cry® New Dawn Deluxe Edition;99.99;85%;14.99;15.02.2019
Far Cry® 5 Gold Edition;124.99;85%;18.74;27.03.2018
Набор Far Cry® 5 Gold Edition + Far Cry ® New Dawn Deluxe Edition;129.99;85%;19.49;15.02.2019
FAR CRY ANTHOLOGY BUNDLE;149.99;75%;37.49;23.10.2021
Mortal Kombat X;19.99;-;-;14.04.2015
Mortal Kombat XL;19.99;80%;3.99;01.03.2016
State of Decay 2: Juggernaut Edition;8.59;50%;4.29;21.05.2018
Call of Duty®: Black Ops 4;59.99;-;-;07.05.2019
Call of Duty®: Black Ops 4 - Digital Deluxe;99.99;60%;39.99;12.10.2018
UFC® 4 Издание Deluxe;69.99;80%;13.99;19.11.2020
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4;29.99;75%;7.49;05.02.2016
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto;49.99;-;-;03.02.2017
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy;69.99;-;-;25.08.2017
Skate 3;16.29;-;-;23.09.2014
Forza Horizon 4: стандартное издание;49.98;67%;16.49;01.10.2018
Forza Horizon 4: deluxe-издание;66.65;65%;23.32;01.10.2018
Forza Horizon 4: ultimate-издание;83.32;65%;29.16;01.10.2018
MLB® The Show™ 23 для Xbox One;59.99;35%;38.99;28.03.2023
MLB® The Show™ 23 для Xbox Series X|S;69.99;30%;48.99;28.03.2023
MLB® The Show™ 23: Эксклюзивное цифровое издание - Xbox One и Xbox Series X|S;99.99;20%;79.99;28.03.2023
Cities: Skylines - Remastered;39.99;-;-;15.02.2023
NARUTO TO BORUTO: SHINOBI STRIKER;59.99;-;-;31.08.2018
NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition;89.99;-;-;31.08.2018
Call of Duty®: WWII - Gold Edition;59.99;-;-;08.05.2018
Call of Duty®: WWII - сезонный абонемент;49.99;-;-;03.11.2017
Call of Duty®: WWII - Digital Deluxe;99.99;-;-;03.11.2017
Rust - Боевой комплект «Темный камуфляж»;5.49;-;-;24.11.2022
Friday the 13th: The Game;14.99;-;-;26.05.2017
Microsoft Flight Simulator Standard 40th Anniversary Edition;59.99;-;-;11.11.2022
Microsoft Flight Simulator Deluxe 40th Anniversary Edition;89.99;-;-;11.11.2022
Microsoft Flight Simulator Premium Deluxe 40th Anniversary Edition;119.99;-;-;11.11.2022
Grand Theft Auto: San Andreas;-;-;-;-
The Crew® 2;49.99;-;-;29.06.2018
The Crew® 2 Special Edition;59.99;-;-;06.07.2021
The Crew® 2 Gold Edition;89.99;90%;8.99;07.07.2021
Ultimate-издание Mortal Kombat 11;59.99;-;-;17.11.2020
